20240404 064700;5277.25;5277.5;5277;5277.25;87
20240404 064800;5277.25;5277.25;5277;5277;23
20240404 064900;5277;5277;5276.5;5276.5;150
20240404 065000;5276.5;5276.5;5276.25;5276.5;54
20240404 065100;5276.25;5276.75;5276;5276.75;101
20240404 065200;5276.5;5276.5;5276.25;5276.25;73
20240404 065300;5276.25;5276.25;5276.25;5276.25;25
20240404 065400;5276.25;5276.25;5275.75;5275.75;90
20240404 065500;5275.75;5276;5275.75;5276;36
20240404 065600;5276;5276.25;5275.75;5276.25;59
20240404 065700;5276.25;5276.5;5276.25;5276.5;80
20240404 065800;5276.25;5276.75;5276.25;5276.5;113
20240404 065900;5276.25;5277;5276.25;5276.75;64
20240404 070000;5276.75;5277;5276;5276;183
20240404 070100;5276.25;5276.25;5275.75;5276;267
20240404 070200;5275.75;5276.75;5275.75;5276.25;292
20240404 070300;5276.25;5276.25;5275.5;5275.5;196
20240404 070400;5275.5;5277.5;5275.5;5277;312
20240404 070500;5277.25;5278.5;5277.25;5278.5;269
20240404 070600;5278.75;5278.75;5277.75;5277.75;402
20240404 070700;5277.5;5278;5276;5276.25;276
20240404 070800;5276.25;5276.75;5276;5276.75;197
20240404 070900;5276.5;5276.75;5275.25;5275.75;248
20240404 071000;5275.5;5275.75;5274.75;5275.25;221
20240404 071100;5275.25;5276.25;5275;5276.25;111
20240404 071200;5276.25;5276.75;5276.25;5276.5;168
20240404 071300;5276.5;5277;5276.5;5277;91
20240404 071400;5277.25;5278.75;5277.25;5278.25;258
20240404 071500;5278.25;5278.75;5278;5278.5;195
20240404 071600;5278.25;5279.75;5278;5279.25;297
20240404 071700;5279.25;5279.25;5277;5277.25;358
20240404 071800;5277.25;5279.25;5277.25;5278.75;366
20240404 071900;5278.75;5278.75;5278;5278.5;298
20240404 072000;5278.5;5279.25;5278.5;5279.25;142
20240404 072100;5279.25;5280.25;5279;5280;301
20240404 072200;5280;5280;5279;5279.75;225
20240404 072300;5279.75;5279.75;5278.5;5278.5;234
20240404 072400;5278.25;5280;5278.25;5279.75;311
20240404 072500;5279.5;5280;5278.75;5278.75;216
20240404 072600;5278.75;5279.25;5278.5;5279.25;119
20240404 072700;5279.25;5279.5;5279;5279.25;135
20240404 072800;5279;5279.5;5278.75;5279.5;249
20240404 072900;5279.25;5279.75;5279.25;5279.75;162
20240404 073000;5280;5280.75;5280;5280.25;259
20240404 073100;5280.25;5280.75;5280;5280.75;612
20240404 073200;5280.75;5280.75;5279.5;5280;461
20240404 073300;5279.75;5280.25;5279.25;5279.5;161
20240404 073400;5279.25;5280;5279;5279.5;518
20240404 073500;5279.75;5280.25;5279.5;5280.25;181
20240404 073600;5280.25;5280.25;5279.5;5280.25;154
20240404 073700;5280.25;5281.5;5280;5281.25;191
20240404 073800;5281.25;5281.5;5280.75;5281.5;220
20240404 073900;5281.25;5281.5;5281;5281.5;109
20240404 074000;5281.25;5281.75;5280.5;5281;277
20240404 074100;5281;5281.5;5280.75;5281.25;156
20240404 074200;5281.25;5281.25;5280.25;5280.25;230
20240404 074300;5280.25;5280.5;5279.75;5280;151
20240404 074400;5279.75;5280.25;5279.5;5280.25;289
20240404 074500;5280.25;5280.5;5280;5280.5;119
20240404 074600;5280.25;5280.25;5279.25;5280;371
20240404 074700;5280;5280.25;5279.5;5280.25;118
20240404 074800;5280.25;5280.5;5279.75;5280;109
20240404 074900;5280;5280;5279.5;5279.75;114
20240404 075000;5279.75;5280.5;5279.75;5280.25;197
20240404 075100;5280.25;5280.75;5279.75;5280.75;220
20240404 075200;5280.5;5280.75;5280.25;5280.25;107
20240404 075300;5280.5;5280.5;5280;5280;126
20240404 075400;5280.25;5280.5;5279.75;5280.5;137
20240404 075500;5280.5;5280.75;5279.5;5279.75;99
20240404 075600;5279.75;5279.75;5279;5279.75;219
20240404 075700;5279.5;5280.5;5279.5;5280.5;197
20240404 075800;5280.25;5280.75;5280.25;5280.5;77
20240404 075900;5280.5;5281.25;5280.5;5281;106
20240404 080000;5280.75;5280.75;5280.5;5280.75;53
20240404 080100;5280.75;5281.25;5280;5281;197
20240404 080200;5281;5281.25;5280.75;5281.25;132
20240404 080300;5281.25;5281.75;5280.75;5280.75;247
20240404 080400;5280.75;5281.25;5280.5;5281;211
20240404 080500;5280.75;5281.25;5280.75;5281.25;116
20240404 080600;5281.25;5283;5281.25;5282;717
20240404 080700;5282.25;5283.25;5282.25;5283;440
20240404 080800;5283;5283;5282.25;5282.5;386
20240404 080900;5282.5;5282.5;5281.75;5282.25;241
20240404 081000;5282.25;5283.25;5282.25;5283.25;226
20240404 081100;5283.25;5283.25;5282.5;5282.5;384
20240404 081200;5282.75;5283;5282.5;5282.5;248
20240404 081300;5282.5;5283;5281.75;5281.75;457
20240404 081400;5281.75;5282.5;5281.75;5282.5;237
20240404 081500;5282.25;5282.5;5281.75;5282;227
20240404 081600;5282;5282.25;5281;5281;314
20240404 081700;5281;5281.25;5280.75;5281.25;234
20240404 081800;5281.25;5281.75;5281;5281.75;205
20240404 081900;5282;5282.25;5281.5;5282;143
20240404 082000;5282;5283;5281.75;5283;184
20240404 082100;5283;5283;5282;5282;324
20240404 082200;5282;5282.25;5281.5;5281.75;296
20240404 082300;5282;5282.5;5281.75;5282.25;210
20240404 082400;5282.5;5282.5;5280.75;5281;264
20240404 082500;5281.25;5282.25;5281;5282.25;151
20240404 082600;5282.25;5282.75;5281.75;5282.75;158
20240404 082700;5282.5;5283.25;5282.25;5282.25;324
20240404 082800;5282.5;5282.5;5282;5282;213
20240404 082900;5282.25;5282.5;5282.25;5282.25;165
20240404 083000;5282.5;5282.5;5281.75;5282.25;275
20240404 083100;5282.5;5283.25;5282.5;5283.25;186
20240404 083200;5283.5;5284.5;5283.5;5284.5;614
20240404 083300;5284.5;5284.5;5283.5;5284.25;315
20240404 083400;5284;5284;5283.25;5283.5;130
20240404 083500;5283.75;5283.75;5282.75;5283;109
20240404 083600;5283.25;5284;5283.25;5284;123
20240404 083700;5283.75;5284;5283.5;5283.5;112
20240404 083800;5283.25;5283.25;5282.75;5283;89
20240404 083900;5283;5283;5282.75;5282.75;54
20240404 084000;5282.75;5282.75;5281.5;5281.5;193
20240404 084100;5281.25;5281.5;5281;5281.25;252
20240404 084200;5281.25;5281.5;5281.25;5281.25;160
20240404 084300;5281;5281.5;5281;5281.25;110
20240404 084400;5281.25;5281.75;5281.25;5281.5;118
20240404 084500;5281.25;5281.25;5280.75;5280.75;87
20240404 084600;5281;5281.25;5280.5;5280.75;170
20240404 084700;5280.75;5281.5;5280.75;5281;134
20240404 084800;5280.75;5281.25;5280.75;5281.25;105
20240404 084900;5281.25;5281.25;5280;5281;469
20240404 085000;5281;5281.25;5280.75;5281;152
20240404 085100;5281;5281.5;5280.25;5281;126
20240404 085200;5281;5281.75;5281;5281.5;100
20240404 085300;5281.5;5282;5281.25;5281.25;284
20240404 085400;5281.5;5282;5281.5;5281.75;145
20240404 085500;5281.75;5282.5;5281.5;5282.25;197
20240404 085600;5282.25;5282.25;5280.75;5281;200
20240404 085700;5281;5281.75;5281;5281.5;180
20240404 085800;5281.5;5281.5;5280.5;5280.5;129
20240404 085900;5280.5;5281.5;5280.5;5281.5;138
20240404 090000;5281.25;5281.25;5281;5281;102
20240404 090100;5281;5281.75;5280.75;5281;180
20240404 090200;5280.75;5281.5;5280.75;5281.5;113
20240404 090300;5281.5;5281.5;5281.25;5281.5;59
20240404 090400;5281.5;5281.5;5280.5;5280.75;133
20240404 090500;5280.75;5281;5280.5;5280.5;109
20240404 090600;5280.5;5280.75;5279.75;5280.75;249
20240404 090700;5280.5;5280.75;5280.5;5280.5;75
20240404 090800;5280.75;5280.75;5280.25;5280.25;55
20240404 090900;5280.25;5280.5;5280.25;5280.25;140
20240404 091000;5280;5280.25;5279.75;5280.25;104
20240404 091100;5280.25;5280.5;5280;5280;78
20240404 091200;5280;5280.5;5280;5280.5;57
20240404 091300;5280.75;5281;5280.5;5281;65
20240404 091400;5281;5281.25;5281;5281.25;125
20240404 091500;5281.25;5281.75;5281.25;5281.5;64
20240404 091600;5281.75;5282.25;5281.5;5282.25;113
20240404 091700;5282.25;5282.5;5282;5282.25;181
20240404 091800;5282.25;5282.5;5282;5282;69
20240404 091900;5282;5282.5;5282;5282.5;73
20240404 092000;5282.25;5282.25;5282;5282;82
20240404 092100;5282;5282.25;5282;5282.25;80
20240404 092200;5282.25;5282.5;5282.25;5282.5;29
20240404 092300;5282.25;5283;5282.25;5282.75;137
20240404 092400;5282.75;5283;5282.75;5282.75;51
20240404 092500;5282.75;5283.25;5282.5;5283;119
20240404 092600;5283.25;5283.5;5282.5;5282.75;156
20240404 092700;5282.75;5283;5282.75;5283;73
20240404 092800;5283.25;5283.75;5283.25;5283.25;227
20240404 092900;5283.25;5283.5;5283;5283;72
20240404 093000;5283;5283.5;5282.75;5283.25;307
20240404 093100;5283.25;5283.25;5282.5;5282.5;147
20240404 093200;5282.75;5283;5282.25;5282.5;123
20240404 093300;5282.5;5283;5282.5;5282.5;180
20240404 093400;5282.5;5283;5282.25;5283;101
20240404 093500;5283;5283.5;5283;5283;52
20240404 093600;5283;5283;5282.75;5282.75;42
20240404 093700;5282.5;5282.5;5282.25;5282.25;95
