timestamp,open,high,low,close,volume
20240604 084500,5275.5,5276.75,5275.5,5276,537
20240604 084600,5276,5276.75,5274,5275.25,421
20240604 084700,5275.25,5276.25,5275,5275,269
20240604 084800,5275,5275.75,5274.75,5275,246
20240604 084900,5275,5275.25,5273.75,5274,439
20240604 085000,5274.25,5274.75,5273.25,5273.75,408
20240604 085100,5273.75,5273.75,5271.25,5271.75,666
20240604 085200,5271.75,5272.25,5270.25,5270.75,784
20240604 085300,5271,5271,5269.75,5270,777
20240604 085400,5270,5271.25,5269.25,5270.5,606
20240604 085500,5270.75,5272,5270.25,5271.75,587
20240604 085600,5271.75,5271.75,5269.25,5270.25,810
20240604 085700,5270,5271.75,5270,5271,540
20240604 085800,5271,5271.5,5270,5270.75,535
20240604 085900,5271,5272.5,5271,5272.25,603
20240604 090000,5272,5272.5,5270.25,5270.75,466
20240604 090100,5271,5272.75,5270.75,5271.75,544
20240604 090200,5271.75,5271.75,5270.25,5270.25,541
20240604 090300,5270.25,5270.75,5269.5,5270,549
20240604 090400,5270.25,5270.5,5267.5,5267.75,775
20240604 090500,5267.5,5267.5,5262,5262,2007
20240604 090600,5262,5264.25,5262,5263.25,841
20240604 090700,5263.5,5265.25,5263.5,5264.25,942
20240604 090800,5264,5266.5,5263,5266.5,896
20240604 090900,5266.5,5267.5,5266,5266.75,566
20240604 091000,5266.75,5267,5265.5,5265.5,436
20240604 091100,5265.75,5266.5,5265.5,5266.5,523
20240604 091200,5266.75,5269,5266.25,5268.25,727
20240604 091300,5268.25,5269,5267.5,5268.25,948
20240604 091400,5268.25,5268.75,5267.5,5268.75,319
20240604 091500,5269,5270.5,5268.75,5269.75,638
20240604 091600,5269.5,5269.5,5266.75,5267.25,614
20240604 091700,5267.5,5268,5265.5,5266.75,603
20240604 091800,5267,5267,5266,5266.25,342
20240604 091900,5266.5,5267.25,5266.5,5267,239
20240604 092000,5266.75,5267,5265.75,5266.25,519
20240604 092100,5266.25,5268,5265.25,5265.25,1236
20240604 092200,5265.25,5266.75,5265,5266.75,514
20240604 092300,5266.75,5267.5,5265.75,5266.25,987
20240604 092400,5266,5266,5264.75,5265,377
20240604 092500,5265,5266.25,5264.25,5265.75,564
20240604 092600,5265.75,5268,5265.25,5268,651
20240604 092700,5268.25,5269,5267.75,5268.25,436
20240604 092800,5268.5,5268.75,5266.75,5266.75,441
20240604 092900,5266.5,5267.25,5266,5266.75,364
20240604 093000,5267,5267.5,5265.75,5266.25,360
20240604 093100,5266,5267.75,5265.75,5266.5,626
20240604 093200,5266.75,5269,5266.5,5268.75,693
20240604 093300,5268.5,5269,5267.75,5268.75,533
20240604 093400,5268.5,5269,5267.75,5268,781
20240604 093500,5267.75,5268.75,5267,5267,539
20240604 093600,5267,5268.5,5266.5,5266.5,407
20240604 093700,5266.5,5268,5266,5267,631
20240604 093800,5267,5268,5266.25,5268,465
20240604 093900,5268,5268.5,5267.25,5268,566
20240604 094000,5268,5269.25,5267.75,5269.25,312
20240604 094100,5269,5271,5269,5271,851
20240604 094200,5271,5272.25,5270.5,5271.25,656
20240604 094300,5271,5271.25,5269.5,5269.75,559
20240604 094400,5269.75,5270.25,5269.5,5269.75,477
20240604 094500,5269.75,5269.75,5269,5269.25,303
20240604 094600,5269,5269.75,5268.25,5268.5,467
20240604 094700,5268.5,5268.75,5265.75,5266,1258
20240604 094800,5265.75,5266.5,5265,5266,400
20240604 094900,5265.75,5267,5265,5267,445
20240604 095000,5267.25,5268,5266,5267,502
20240604 095100,5267,5267,5265.5,5265.75,361
20240604 095200,5265.75,5266,5265,5265.5,295
20240604 095300,5265.25,5266,5265,5265.25,387
20240604 095400,5265.25,5265.25,5263.5,5264,870
20240604 095500,5264,5265.5,5264,5264.5,426
20240604 095600,5264.75,5266.25,5264.25,5265.75,788
20240604 095700,5265.5,5267.25,5265.5,5267.25,478
20240604 095800,5267.5,5268,5266.5,5267.5,412
20240604 095900,5267.5,5268.25,5267,5267.5,378
20240604 100000,5267.5,5267.75,5266.75,5267.25,260
20240604 100100,5267.5,5268.5,5266.75,5267.75,392
20240604 100200,5267.75,5268.5,5266.75,5267.5,453
20240604 100300,5267.5,5267.5,5266.5,5267,340
20240604 100400,5267.25,5268.25,5267.25,5267.75,362
20240604 100500,5267.75,5267.75,5266.5,5267.5,396
20240604 100600,5267.25,5267.25,5266.5,5266.75,314
20240604 100700,5266.75,5266.75,5264.25,5264.5,637
20240604 100800,5264.5,5265.5,5264.25,5264.25,422
20240604 100900,5264.25,5264.5,5263,5263.5,766
20240604 101000,5263.5,5264.5,5263.25,5264.5,390
20240604 101100,5264.5,5265.25,5264,5264.25,351
20240604 101200,5264.5,5264.5,5263.5,5264.25,263
20240604 101300,5264.5,5265.5,5264.25,5265.5,363
20240604 101400,5265.25,5265.25,5264.5,5265,393
20240604 101500,5265,5267.75,5265,5267.5,417
20240604 101600,5267.5,5268.5,5267.25,5268.5,434
20240604 101700,5268.5,5270,5268.5,5269.75,627
20240604 101800,5269.75,5271,5269.75,5270.75,570
20240604 101900,5270.75,5270.75,5270,5270.5,324
20240604 102000,5270.5,5270.5,5270,5270.5,219
20240604 102100,5270.5,5270.75,5269.75,5270,319
20240604 102200,5270,5270.75,5270,5270,272
20240604 102300,5270.25,5270.25,5269.5,5269.75,266
20240604 102400,5270,5271.25,5270,5271.25,206
20240604 102500,5271,5271.25,5270.5,5271,272
20240604 102600,5270.75,5271.5,5270.75,5271,283
20240604 102700,5271,5271,5269.75,5270.25,388
20240604 102800,5270.5,5270.75,5270,5270.75,213
20240604 102900,5270.75,5271,5270,5270,224
20240604 103000,5270,5270,5267.75,5268,876
20240604 103100,5268,5269.75,5267,5269.75,768
20240604 103200,5269.75,5270.25,5269,5269.25,295
20240604 103300,5269,5269,5267.5,5268.75,290
20240604 103400,5268.75,5269.75,5268.75,5269.75,233
20240604 103500,5269.75,5270.5,5269.75,5269.75,153
20240604 103600,5270,5271,5270,5270.75,255
20240604 103700,5270.75,5271.5,5270.5,5271.5,392
